Historian;Birthplace
Adolfo Venturi;Modena
Eugenio Battisti;Turin
Luigi Salerno;Rome
John Pope-Hennessy;London
Otto Lehmann-Brockhaus;Unna
Ernst Steinmann;Jördenstorf
Leo Steinberg;Moscow
Ellis Waterhouse;Epsom
Ernst Kitzinger;Munich
Richard Krautheimer;Fürth
Wolfgang Lotz;Heilbronn
Kurt Badt;Berlin
Julius S. Held;Mosbach
Federico Zeri;Rome
Werner Cohn;Berlin
Stefano Tumidei;Forl�
Stefano Tumidei;Forlì
Gustav Ludwig;Nauheim
Ulrich Middeldorf;Staßfurt
Aby Warburg;Hamburg
Kornél Fabriczy;Levoča
